tips,trip_seconds,trip_miles,pickup_community_area,dropoff_community_area,fare,tolls,extras,trip_total
0.00,746,3.34,6,16,11.75,0.00,0.00,11.75
0.00,681,3,8,24,11.25,0.00,0.00,11.25
11.00,2280,15.2,56,22,39.00,0.00,5.00,55.00
2.00,360,1.2,8,32,6.50,0.00,0.00,8.50
8.40,1500,11.5,76,4,29.75,0.00,4.00,42.15
0.00,316,1.76,,24,12.00,0.00,0.00,12.00
4.00,425,1.23,8,32,6.75,0.00,1.50,12.75
0.00,180,0,76,76,4.00,0.00,4.00,8.00
2.90,738,4.51,8,6,14.00,0.00,0.00,17.40
3.00,1500,18.1,76,32,45.00,0.00,4.00,52.00
0.00,1440,7.34,,76,24.75,0.00,0.00,24.75
2.00,180,0.8,8,8,5.00,0.00,0.00,7.00
0.00,480,0,8,32,7.50,0.00,2.50,10.00
0.00,839,3.44,7,21,13.50,0.00,0.00,13.50
9.10,2220,1,76,,41.50,0.00,4.00,54.60
0.00,540,4.4,,,13.25,0.00,0.00,13.25
3.00,601,2.2,8,28,9.00,,0.00,12.00
2.00,420,1,6,6,6.00,0.00,0.00,8.00
0.00,4,0,20,20,3.25,,0.00,3.25
2.00,600,0,8,28,8.75,0.00,0.00,10.75
0.00,1080,2,8,24,8.00,0.00,1.00,9.00
2.00,480,0.1,32,8,7.75,0.00,0.00,9.75
0.00,1294,11.97,76,16,31.00,0.00,4.00,35.00
3.05,780,5,32,6,15.25,0.00,0.00,18.30
2.50,600,0,32,6,15.50,0.00,0.00,18.00
3.00,317,1.17,32,8,6.50,0.00,0.00,10.00
2.00,840,0.3,32,21,18.25,0.00,0.00,20.25
2.00,60,0.3,32,8,3.75,0.00,1.00,6.75
0.00,0,0,76,76,3.25,0.00,0.00,3.25
11.00,1744,15.83,76,,39.25,0.00,25.00,75.75
8.70,1500,0.9,76,24,39.50,0.00,4.00,52.20
0.00,0,0,8,8,3.25,0.00,0.00,3.75
0.00,183,0.6,4,4,4.75,,0.00,4.75
18.25,1980,0,76,,56.75,0.00,34.50,109.50
0.00,12,0,76,76,3.25,0.00,0.00,3.25
0.00,480,1.5,8,32,7.25,0.00,1.00,8.25
3.75,1140,0.2,32,6,13.50,0.00,1.50,18.75
8.25,1953,14.43,,6,36.75,0.00,4.00,49.50
3.00,480,0,8,28,7.75,0.00,0.00,10.75
0.00,441,1.7,77,2,8.00,,0.00,8.00
3.00,420,1.2,32,32,6.75,0.00,0.00,10.25
9.05,1500,9.9,56,,26.25,0.00,19.00,54.30
0.00,546,5.21,8,3,15.25,0.00,0.00,15.25
0.00,340,1.7,7,22,7.25,,0.00,7.25
5.00,1140,0.5,32,3,21.75,0.00,1.00,27.75
0.00,1422,6.6,11,77,19.75,,0.00,19.75
9.50,2220,16.5,,,42.00,0.00,5.50,57.00
5.00,1681,10.41,76,,27.75,0.00,4.00,37.25
9.90,1608,18.1,76,32,45.00,,4.50,59.40
8.70,1596,15.74,76,8,39.00,0.00,4.00,52.20
0.00,331,0.95,6,6,6.00,0.00,0.00,6.00
2.00,424,1.4,32,8,7.00,0.00,0.00,9.50
15.00,1500,12.8,76,,33.00,0.00,24.50,73.00
9.30,1396,17.1,76,28,42.00,0.00,4.00,55.80
0.00,780,4.8,77,,14.75,0.00,0.00,14.75
2.00,185,0.44,8,8,4.25,0.00,0.00,6.75
6.85,1537,11.4,76,4,30.25,,4.00,41.10
0.00,1927,17.5,76,8,43.50,,4.00,47.50
0.00,2162,13.97,56,,35.75,0.00,4.00,39.75
7.50,1612,12.8,,,33.00,0.00,4.00,45.00
3.00,780,3.8,,,12.50,0.00,1.00,16.50
2.30,780,3.5,22,27,11.50,0.00,0.00,13.80
0.00,348,1,,,6.00,0.00,0.00,6.00
0.00,849,4.19,4,11,13.75,0.00,0.00,13.75
0.00,713,2.6,33,8,10.25,0.00,0.00,10.25
0.00,1394,4.71,24,24,17.00,0.00,0.00,17.00
9.85,1860,17.8,76,8,44.25,0.00,5.00,59.10
0.00,1186,9.22,28,3,25.00,0.00,0.00,25.00
0.00,420,1.4,,,7.00,0.00,0.00,7.00
0.00,321,0.66,8,8,5.50,0.00,0.00,5.50
0.00,540,2.6,8,24,9.75,0.00,1.00,10.75
3.00,2263,25.96,76,41,62.25,0.00,4.00,69.75
13.80,1477,16.93,76,,41.50,0.00,4.00,59.80
2.00,300,0,8,8,5.50,0.00,1.00,8.50
0.00,300,0.8,8,8,5.75,0.00,2.00,7.75
0.00,1080,4.8,8,6,16.00,0.00,0.00,16.00
7.05,1500,29.4,76,5,31.25,0.00,4.00,42.30
2.00,490,2.41,8,7,9.25,0.00,0.00,11.75
2.55,720,0.1,32,32,10.25,0.00,0.00,12.80
2.90,770,4.45,8,22,14.00,0.00,0.00,17.40
3.25,840,3.2,,63,11.25,0.00,5.50,20.00
4.10,1013,6.84,8,16,20.00,0.00,0.00,24.60
0.00,1860,0.8,,,33.00,0.00,17.50,50.50
0.00,1869,20.1,76,33,49.00,,4.00,53.00
9.35,1860,17.3,76,32,42.75,0.00,4.00,56.10
7.25,2160,15,76,6,39.25,0.00,4.00,50.50
0.00,1827,19.07,76,8,47.00,0.00,4.00,51.00
4.00,1526,17.5,76,32,42.75,0.00,4.00,51.25
3.00,540,0.1,32,8,8.25,0.00,0.00,11.25
2.00,344,1.26,8,32,6.75,0.00,1.00,10.25
0.00,472,1.88,2,77,7.75,0.00,1.00,8.75
0.00,239,0.99,24,24,5.75,0.00,0.00,5.75
1.00,300,1.4,,,6.75,0.00,0.00,7.75
2.00,360,0,8,24,6.25,0.00,0.00,8.25
9.40,1920,1,76,28,43.00,0.00,4.00,56.40
0.00,531,1.4,8,8,7.25,0.00,1.00,8.75
0.00,2447,25.2,76,41,60.00,,4.00,64.00
5.75,1140,0.6,8,11,28.75,0.00,0.00,34.50
4.78,1680,1.1,76,8,43.75,0.00,4.00,52.53
0.00,2313,16.98,76,,42.75,0.00,6.00,48.75
5.25,1466,4.98,28,22,16.00,0.00,1.00,22.75
0.00,923,0.1,43,28,8.25,0.00,0.00,8.25
0.00,120,0,,,3.25,0.00,69.00,72.25
0.00,960,7.5,29,8,20.00,0.00,0.00,20.00
0.00,276,0.56,32,8,5.00,0.00,0.00,5.00
0.00,600,2.7,8,33,10.75,0.00,0.00,10.75
2.00,120,0.4,,,4.25,0.00,1.50,7.75
7.40,1714,12.7,76,3,32.50,0.00,4.00,44.40
2.00,120,0.6,32,32,4.50,0.00,0.00,6.50
1.00,180,0.8,8,32,5.25,0.00,0.00,6.25
0.00,2100,24.9,76,39,59.00,0.00,4.00,63.00
7.80,1501,13.64,76,22,34.50,0.00,4.00,46.80
2.00,586,2.55,28,24,9.75,0.00,1.00,13.25
0.00,548,1.5,32,8,7.75,0.00,0.00,7.75
3.19,755,3.71,8,24,12.25,0.00,0.00,15.94
15.00,2580,29.29,76,,69.75,0.00,31.00,116.25
0.00,1012,3.08,6,4,11.50,0.00,0.00,11.50
0.00,720,2.8,22,23,10.25,0.00,0.00,10.25
3.70,600,6.5,8,16,18.00,0.00,0.00,22.20
0.00,360,1.3,8,28,7.00,0.00,0.00,7.00
2.00,543,2.3,8,7,9.25,0.00,0.00,11.75
0.00,600,3.6,32,24,12.00,0.00,0.00,12.00
3.95,949,6.62,32,6,19.25,0.00,0.00,23.70
9.20,1560,17,76,28,42.00,0.00,4.00,55.20
0.00,725,4.4,22,15,14.00,,3.00,17.00
2.00,204,0.8,8,32,5.25,0.00,0.00,7.75
0.00,1560,0,8,8,12.00,0.00,0.00,12.00
2.00,240,0,32,8,5.25,0.00,0.00,7.25
0.00,60,0.4,76,76,4.00,0.00,0.00,4.00
0.00,1200,0.6,32,77,26.00,0.00,0.00,26.00
2.00,281,0.63,8,8,5.25,0.00,0.00,7.75
2.00,480,4.3,32,6,13.25,0.00,1.50,16.75
12.62,1621,18.27,76,,45.00,0.00,5.00,63.12
9.05,1500,16.9,76,8,41.25,0.00,4.00,54.80
0.00,728,2.86,32,28,10.00,0.00,0.00,10.00
6.45,1500,0.6,56,28,28.25,0.00,4.00,38.70
8.30,1860,14.7,,,37.50,0.00,4.00,50.30
0.00,1412,10.66,76,19,28.00,0.00,5.00,33.00
0.00,139,1.3,23,23,4.50,0.00,0.50,5.00
0.00,548,1.47,32,8,7.25,0.00,0.00,7.25
12.08,1826,14.09,76,1,35.75,0.00,4.00,52.33
4.15,900,5.6,32,6,16.75,0.00,0.00,20.90
2.00,600,2.5,8,24,10.25,0.00,0.00,12.75
0.00,633,2.69,32,8,10.00,0.00,0.00,10.00
6.95,1740,11.8,76,,30.25,0.00,4.00,41.70
2.00,464,1.9,32,31,8.25,0.00,0.00,10.75
2.00,383,0.91,8,8,6.25,0.00,0.00,8.75
7.00,2100,16.3,76,60,53.25,0.00,4.00,64.25
1.00,120,0,8,32,4.00,0.00,0.00,5.00
10.25,1760,13.7,76,,34.50,0.00,6.00,51.25
0.00,480,0,8,7,7.75,0.00,0.00,7.75
0.00,1560,13.5,76,5,35.00,0.00,4.00,39.00
7.10,2160,0,8,,34.50,0.00,1.00,42.60
2.20,780,3,32,7,11.00,0.00,0.00,13.20
2.10,772,4.18,,,13.50,0.00,0.00,16.10
0.00,240,0,24,24,4.00,0.00,0.00,4.00
